#						
# Illegal business profit ratio.						
#						
# Replaces CC/NP for normal businesses.						
#						
# Format = Number of business type present, Profit Ratio *100						
#						
27	5					
100	270	300	350	150	#	1
100	260	280	300	120	#	2
100	250	260	250	100	#	3
100	240	240	200	80	#	4
100	230	220	150	60	#	5
100	220	200	100	40	#	6
100	210	180	90	20	#	7
100	200	160	80	0	#	8
100	190	140	70	0	#	9
100	180	120	60	0	#	10
100	170	110	50	0	#	11
100	160	100	45	0	#	12
100	150	90	40	0	#	13
100	140	80	35	0	#	14
100	130	70	30	0	#	15
100	120	60	27	0	#	16
100	110	55	25	0	#	17
100	100	50	23	0	#	18
100	90	45	21	0	#	19
100	80	40	19	0	#	20
100	70	35	17	0	#	21
100	60	30	15	0	#	22
100	50	25	13	0	#	23
100	40	20	11	0	#	24
100	30	15	9	0	#	25
100	20	10	7	0	#	26
100	10	5	5	0	#	27
